pr.1	Fratres ephebi fossor et pastor duo,
pr.2	quos feminarum prima primos procreat,
pr.3	sistunt ad aram de laborum fructibus
pr.4	Deo sacranda munerum primordia.
pr.5	hic terrulentis, ille vivis fungitur; 
pr.6	certante voto discrepantes inmolant,
pr.7	fetum bidentis alter, ast alter scrobis.
pr.8	Deus minoris conprobavit hostiam,
pr.9	reiecit illam quam paravit grandior.
pr.10	vox ecce summo missa persultat throno: 
pr.11	‘Cain, quiesce; namque si recte offeras,
pr.12	oblata nec tu lege recta dividas,
pr.13	perversa nigram vota culpam traxerint.’
pr.14	armat deinde parricidalem manum
pr.15	frater, probatae sanctitatis aemulus; 
pr.16	germana curvo colla frangit sarculo,
pr.17	mundum recentem caede tinguit inpia,
pr.18	sero expiandum, iam senescentem, sacro
pr.19	cruore Christi, quo peremptor concidit.
pr.20	mors prima coepit innocentis vulnere, 
pr.21	cessit deinde vulnerato innoxio.
pr.22	per crimen orta dissoluta est crimine,
pr.23	Abel quod ante perculit, Christum dehinc;
pr.24	finita et ipsa est finis exsortem petens.
pr.25	ergo ex futuris prisca coepit fabula 
pr.26	factoque primo res notata est ultima,
pr.27	ut ille mortis inchoator rusticus
pr.28	insulsa terrae deferens libamina
pr.29	Deumque rerum mortuarum deputans
pr.30	rastris redacta digna sacris crederet, 
pr.31	viventis atrox aemulator hostiae.
pr.32	agnosco nempe quem figura haec denotet,
pr.33	quis fratricida, quis peremptor invidus
pr.34	prave sacrorum disciplinam dividat,
pr.35	mactare dum se vota censet rectius. 
pr.36	Marcion, arvi forma corruptissimi,
pr.37	docet duitas discrepare a Spiritu,
pr.38	contaminatae dona carnis offerens
pr.39	et segregatim numen aeternum colens.
pr.40	qui si quiescat nec monentem neglegat, 
pr.41	pacem quieta 1 diligat germanitas,
pr.42	unum atque vivum fassa vivorum Deum.
pr.43	hic se caduco dedicans mysterio
pr.44	summam profanus dividit substantiam;
pr.45	malum bonumque ceu duorum separatis 
pr.46	regnum Deorum sceptra committit duo,
pr.47	Deum esse credens quem fatetur pessimum.
pr.48	Cain cruentus, unitatis invidus,
pr.49	mundi colonus, immolator squalidus,
pr.50	cuius litamen sordet et terram sapit, 
pr.51	terram caduci corporis, venam putrem,
pr.52	umore denso conglobatam et pulvere,
pr.53	natura cuius fraude floret fertili
pr.54	fecunda fundens noxiorum crimina,
pr.55	animaeque vitam labe carnis enecat. 
pr.56	caro in sororem tela mentem dirigit,
pr.57	mens in cerebro ventilatur ebrio,
pr.58	ex quo furores suculentos conligit
pr.59	madens veneno corporis lymphatico.
pr.60	Deum perennem findit in duos Deos, 
pr.61	audet secare numen insecabile.
pr.62	cadit perempta denegans unum Deum,
pr.63	Cain triumphat morte fratris halitus. 1
1.1	Quo te praecipitat rabies tua, perfide Cain,
1.2	divisor blaspheme Dei? tibi conditor unus
1.3	non liquet, et bifidae caligant nubila lucis?
1.4	insincera acies duo per divortia semper
1.5	spargitur, in geminis visum frustrata figuris. 
1.6	terrarum tibi forma duplex obludit, ut excors
1.7	dividuum regnare Deum super aethera credas.
1.8	bina boni atque mali glomerat discrimina sordens
1.9	hic mundus, Domino sed caelum obtemperat uni.
1.10	non idcirco duos retinent caelestia reges 
1.11	quod duo sunt opera humanas agitantia curas.
1.12	exterior terrenus homo est, qui talia cernens
1.13	conicit esse duo variarum numina rerum.
1.14	dum putat esse Deum qui prava effinxerit olim,
1.15	et qui recta itidem condens induxerit, ambos 
1.16	autumat esse Deos natura dispare summos.
1.17	quae tandem natura potest consistere duplex
1.18	aut regnare diu, quam fons divisus ab arce
1.19	separat, alternaque apicum dicione recidit?
1.20	aut unus Deus est, rerum cui summa potestas, 
1.21	aut quae iam duo sunt minuuntur dispare summa,
1.22	porro nihil summum nisi plenis viribus unum,
1.23	distantes quoniam, proprium dum quisque revulso
1.24	vindicat imperio, nec summa nec omnia possunt,
1.25	ius varium non est plenum, quia non habet alter 
1.26	quidquid dispar habet; cumulum discretio carpit,
1.27	nos plenum sine parte Deum testamur et unum,
1.28	in quo Christus inest, idem quoque plenus et unus,
1.29	qui viget ac viguit super omnia quique vigebit
