1.1	Possibilitatis non est neque praesumptionis meae, beatissimi sacerdotes, sed artissimae ac paene extremae, ut ipsi agnoscitis, necessitatis, ut ego nunc uidear. quod quidem ut facerem, iniuria coactus sum, non solum defensor fidei meae sed etiam perfidiae manifestator alienae.
1.2	sicut enim purgationi propriae studere debeo propter conscientiam — conscientiam autem dico non meam sed alterius —, ita et deprehensos in grege ouium lupos ostentare ad digitum cogor propter fidem et zelum — zelum autem non meum dico sed Christi.
1.3	sed neque ego, cum sim minimus omnium, aliquid temeritate praesumo: mihi OROSII PR ̅Β̅Ι L ΙΒ̅ APOLLOGETIC ̅ INC ΙΡ̄ (rubris litteris) I E oROsn PR ̅Β̅Ι liber APOLOGETICVS INCIPIT T Orosii preebiteri liber apologeticus incipit s Orosii prbi hb apologeticQ incip. X Incipit liber apologeticus orosii prbri T Pauli Orosii uiri doctissimi (P. 0. presbyteri s) liber apologeticus contra Pelagium de arbitrii libertate v 1 P uerbi possibilitatis grandis et rubra in X grandis et coloribus picta in Ψ || |POSSIBILITATIS— NEQVE| uncialibus in X p Non praesnmptionis meae est beatissimi (et in tng. m. 1: Initium huius operis in quodam codice sic innenimus; possibilitatis est neque presnmpti. onis meae) codex Ashburnhamianus Librianus n. 86 s. XII || non] E otn. ΥΦΧΨ || praeeumtionis ΥΦ resumtionis X 2 poene TØ 3 uidear cum rasura supra a X 4 iniuria* (eras . m) Φ ||Non cum ras. supra N X 6 purgati∗oni (eras. ut uid . r) X 6 conscientiam alterum om. h 7 et] nt Ψ || dephensos X deprehensus (n in o corr. m. 1$) ΦΧ 8 ostenta|re (oetenta in ras. m. 1) X 10 Michi XV necessitas est iniuriam manifestare, quam passus sum. cunctis pateat qui fecerunt. Dei enim et uoluntas et ordinatio est, ut malum, quod per patientiam tolerabatur, necessarie proderetur, et per contentionem furoris eorum ipsis dignam mercedem quam oportuit erroris sui recipientibus non solum pessimorum denotatio fieret dogmatum sed corripiendarum manifestatio personarum.
1.4	patres enim et qui iam quieuerunt martyres et confessores, Cyprianus, Hilarius et Ambrosius, et quibus etiam nunc permanere adhuc in carne necessarium est, qui sunt columnae et firmamenta Ecclesiae catholicae, Aurelius Augustinus et Hieronymus, multa iam aduersus hanc nefariam haeresim absque designatione nominum haereticorum scriptis probatissimis ediderunt.
1.5	quamquam et haec uenenatissimorum dogmatum abominatio habet etiam nunc uiuentes mortuos mortuosque uiuentes. nam Origenes et Priscillianus et Iouinianus, olim apud se mortui, in his uiuunt, et non solum uiuunt uerum etiam loquuntur;
1.6	nunc uero Pelagine et Caelestius, si in his perseuerauerint uiuentes mortui, ecce aduersus Ecolesiam, quod miserum est, et, quod multo miserius est, in ecclesia palam sibilant impiique serpentes uibrantibus infecta linguis ora lambentes dum sanctam et munitissimam sedem cui subtiliter inrepsere obsident, cunctos fideles, ne ad illud firmissimum quondam in Sion refugium conuolemus, exterrent. fetor siquidem oris eorum longe lateque diffusus omnium, quibus odor uitae in uitam erat, odorem uertit in mortem. 
2.1	 Contra hunc serpentem suffocantemque halitum multa utique 1 ut cunctis X 3 Necessariae Σ a 4 furor|s (sic m. 1 i. e . faroris et in marg. ad hunc u. 3 necess.—4 eorum nota adscr . r ». e . require) X 7 martires Ψ 8 coufessores] X et m mg. b conoordes ΥΦΧΨ v || bylarius W || ambrosi∗∗us (aa eras. m. 2) X 11 hieronymus] T hieronimus ΣΦΧ ieronimus Ψ 12 heresim codices || hereticorom codices 14 ab»ominatio (eras. h) X 16 non aola niunt E 17 locuntur ΥΦΧ || celestins ΣΥΦΨ 20 inpiique T 21 suptiliter Ψ 22 irrepsere ΣΧ b Ψ U ne* (eras . c) Φ 23 syon Ψ || haec fetor—25 in mortem om. v (non b) || fateor ΥΦ t Χ t Ψ 24 diffusus] diffusum uirus Wb 26 alitam Ψ beatissimi quos supra memorauimus uiri et multifaria saueolentia scripturarum unguenta conficiunt et ad reficienda aestuantium corda populorum fragrantissimum thymiama cum oblatione orationis incendunt.
2.2	sed hoc parum est, incerto propemodum auctore contendere et contraria substituendo contrariis infectum pestifero halitu aerem temperare, nisi ipsi in medium protrahantur proteranturque serpentes.
2.3	qui cum tuendi solius capitis causa reliquum conoisioni atque iniuriae corpus exponunt nihil damni arbitrantes ea tantum sui parte a periculo libera, quae multimodas uenenatasque in se obtinet linguas, si etiam membris omnibus amputentur: nobis sufficere uidetur temperando saltem putori satisfacere, ipsos autem a penetralibus non mouere ?
2.4	— quasi ullus exhalationis fetidae finis sit nisi auctore finito - et inter haec illud Salomonis testimonium non occurrit? unus aedificans, alius destruens, quis eorum proficiet nisi labor?
