pr.1	Senex fidelis prima credendi via
pr.2	Abram, beati seminis serus pater,
pr.3	adiecta cuius nomen auxit syllaba,
pr.4	Abram parenti dictus, Abraham Deo,
pr.5	senile pignus qui dicavit victimae, 
pr.6	docens ad aram cum litare quis velit,
pr.7	quod dulce cordi, quod pium, quod unicum
pr.8	Deo libenter offerendum credito,
pr.9	pugnare nosmet cum profanis gentibus
pr.10	suasit, suumque suasor exemplum dedit, 
pr.11	nec ante prolem coniugalem gignere
pr.12	Deo placentem, matre virtute editam,
pr.13	quam strage multa bellicosus spiritus
pr.14	portenta cordis servientis vicerit.
pr.15	victum feroces forte reges ceperant 
pr.16	Loth inmorantem criminosis urbibus
pr.17	Sodomae et Gomorrae, quas fovebat advena
pr.18	pollens honore patruelis gloriae.
pr.19	Abram sinistris excitatus nuntiis
pr.20	audit propinquum sorte captum bellica 
pr.21	servire duris barbarorum vinculis:
pr.22	armat trecentos terque senos vernulas,
pr.23	pergant ut hostis terga euntis caedere,
pr.24	quem gaza dives ac triumphus nobilis;
pr.25	captis tenebant inpeditum copiis. 
pr.26	quin ipse ferrum stringit et plenus Deo
pr.27	reges superbos mole praedarum graves
pr.28	pellit fugatos, sauciatos proterit,
pr.29	frangit catenas et rapinam liberat:
pr.30	aurum, puellas, parvulos, monilia, 
pr.31	greges 1 equarum, vasa, vestem, buculas.
pr.32	Loth ipse ruptis expeditus nexibus
pr.33	attrita bacis colla liber erigit.
pr.34	Abram triumphi dissipator hostici
pr.35	redit recepta prole fratris inclytus 
pr.36	ne quam fidelis sanguinis prosapiam
pr.37	vis pessimorum possideret principum.
pr.38	adhuc recentem caede de tanta virum
pr.39	donat sacerdos ferculis caelestibus,
pr.40	Dei sacerdos, rex et idem praepotens, 
pr.41	origo cuius fonte inenarrabili
pr.42	secreta nullum prodit auctorem sui, 2
pr.43	Melchisedech, qua stirpe, quis maioribus
pr.44	ignotus, uni cognitus tantum Deo.
pr.45	mox et triformis angelorum trinitas 
pr.46	senis revisit hospitis mapalia,
pr.47	et iam vietam Sarra in alvum fertilis
pr.48	munus iuventae mater exsanguis stupet,
pr.49	herede gaudens, et cachinni paenitens.
pr.50	haec ad figuram praenotata est linea, 
